id,device_id,product_name,product_sku,product_name2,count if,amount,status,card_number,cvv,created_at,happened_at
16,81,felis ullamcorper,3.77E+12,adipiscing,12,509,cancelled,2149 766434 95448,589,1/6/2023 7:59,10/25/2021 11:49
17,62,amet ante.,3.77E+12,sit,18,884,refused,2.01E+14,907,2/3/2023 6:27,2/16/2022 4:36
18,160,vitae nibh.,3.77E+12,ultrices,6,707,cancelled,519 33246 38784 745,825,10/12/2022 8:17,9/25/2022 7:31
19,196,Vestibulum ut,3.77E+12,Cras,11,571,cancelled,417500 7864623941,575,10/15/2022 12:31,10/25/2022 2:02
20,128,tristique senectus,3.77E+12,lorem,23,547,cancelled,3.06E+14,944,2/22/2023 1:09,3/20/2022 7:32
21,186,ullamcorper magna.,3.77E+12,semper,17,883,accepted,677 12765 73384 289,621,11/28/2022 5:03,7/3/2022 12:05
22,138,"ultricies ornare,",3.77E+12,In,16,329,accepted,633476 273252 4733,894,1/2/2023 5:59,9/21/2022 4:01
23,82,amet ultricies,3.77E+12,Morbi,9,660,accepted,2149 744942 47596,681,12/12/2022 4:48,11/18/2021 4:47
24,151,faucibus. Morbi,3.77E+12,mauris,21,794,refused,3.43E+14,847,12/8/2022 7:32,7/30/2022 12:24
25,111,"nec, mollis",3.77E+12,Mauris,21,861,refused,565224 883374 9522,419,11/23/2022 6:35,3/5/2022 12:30
26,32,est ac,v3770009015028,risus.,5,736,refused,3.00E+14,375,10/21/2022 1:05,4/30/2022 8:39
27,75,augue ut,3.77E+12,eros,2,490,accepted,6.33E+17,600,1/7/2023 9:37,6/9/2022 12:35
28,157,"fermentum vel,",3.77E+12,turpis,3,864,cancelled,2.15E+14,313,1/28/2023 6:12,4/8/2022 5:41
29,19,lorem semper,3.77E+12,luctus,11,807,refused,453971 221221 9125,835,11/8/2022 10:03,1/22/2022 7:52
30,149,"lorem lorem,",3.77E+12,luctus,11,517,refused,6761 664383 1783,534,10/18/2022 12:35,4/12/2022 7:38
31,157,"vel, venenatis",3.77E+12,massa.,5,845,accepted,644 98492 28573 811,912,1/31/2023 4:22,7/18/2022 4:03
32,5,"aliquam, enim",3.77E+12,Proin,15,436,refused,3681 762847 27267,128,1/25/2023 8:50,6/7/2022 1:24
33,15,consectetuer adipiscing,3.77E+12,tortor.,1,344,cancelled,2.01E+14,209,12/5/2022 12:30,12/13/2021 9:59
34,74,amet ante.,3.77E+12,lectus,11,178,accepted,6486 6376 2537 4758,114,10/10/2022 2:03,6/21/2022 6:52
35,165,"eu, euismod",3.77E+12,adipiscing,12,733,accepted,3449 786695 53260,426,10/21/2022 5:04,11/23/2021 2:09
36,69,"euismod in,",3.77E+12,et,21,173,cancelled,2149 834255 46661,901,12/10/2022 11:18,11/14/2022 9:08
37,180,"convallis in,",3.77E+12,Aliquam,9,1,accepted,3.02E+14,654,12/23/2022 7:05,11/21/2021 5:00
38,187,Vestibulum accumsan,3.77E+12,non,15,428,refused,6.33E+18,488,1/1/2023 10:09,8/13/2022 7:30
39,94,posuere cubilia,3.77E+12,amet,12,903,accepted,3466 977225 58433,781,12/7/2022 8:17,2/23/2022 7:10
40,144,tincidunt. Donec,v3770009015028,Nullam,9,41,refused,3.04E+14,449,11/7/2022 2:29,4/4/2022 7:14
41,115,litora torquent,3.77E+12,non,15,433,refused,4.91E+18,874,1/18/2023 4:57,8/31/2022 1:14
42,175,Aliquam gravida,v3770009015028,adipiscing,12,875,refused,2149 764432 55554,311,2/9/2023 4:06,9/5/2022 7:42
43,196,"adipiscing, enim",3.77E+12,pellentesque,5,78,accepted,5528 2444 5815 7796,938,10/19/2022 1:29,2/13/2022 1:25
44,44,commodo ipsum.,3.77E+12,convallis,8,640,refused,3693 645798 88932,759,11/5/2022 11:43,5/21/2022 3:46
45,140,"aliquet, sem",3.77E+12,"eget,",4,576,cancelled,4.02E+12,975,10/13/2022 5:25,1/7/2023 3:29
46,138,lobortis augue,3.77E+12,ut,16,582,refused,5254 4857 3638 5879,407,2/8/2023 11:27,3/19/2022 8:41
47,9,lorem ac,3.77E+12,consequat,4,178,cancelled,630412 333637 6838,636,10/30/2022 3:13,7/22/2022 9:37
48,55,est. Mauris,3.77E+12,urna,6,163,accepted,455 64559 19286 553,223,10/15/2022 6:01,11/14/2021 1:52
49,171,aptent taciti,3.77E+12,dictum,7,449,cancelled,647666 8866658593,120,12/18/2022 9:28,3/9/2022 3:57
50,60,"a, aliquet",3.77E+12,enim.,9,948,refused,4663 6783 7785 9468,378,11/23/2022 3:24,3/10/2022 9:47
51,162,pede. Cum,3.77E+12,"imperdiet,",2,709,cancelled,4.90E+18,505,1/16/2023 6:57,2/17/2023 1:23
52,57,vel arcu.,3.77E+12,Donec,21,441,cancelled,6759 8333 2616 8173,649,11/28/2022 11:15,12/23/2021 7:59
53,164,pharetra. Quisque,3.77E+12,nunc,22,644,refused,526744 8755821385,843,11/4/2022 1:41,3/14/2022 4:24
54,93,sed dui.,3.77E+12,Nullam,9,762,accepted,6.30E+17,173,1/26/2023 6:43,8/26/2022 1:20
55,139,"sit amet,",3.77E+12,ac,24,243,refused,3698 484154 59577,300,2/10/2023 7:14,2/21/2023 7:19
56,92,"ut, sem.",3.77E+12,semper,17,500,cancelled,6.48E+15,523,11/16/2022 11:00,6/27/2022 6:33
57,151,velit in,3.77E+12,"id,",7,640,refused,670677 166736 7216,655,10/31/2022 8:53,12/9/2022 12:50
58,106,arcu ac,3.77E+12,"vitae,",8,790,cancelled,6.71E+17,821,10/1/2022 2:15,10/8/2022 9:00
59,191,non arcu.,3.77E+12,sem.,3,473,refused,3422 267645 54722,253,1/3/2023 12:29,5/17/2022 9:58
60,51,"eu, ultrices",3.77E+12,viverra.,2,811,cancelled,402400 712737 4772,806,10/14/2022 10:05,8/24/2022 3:19
61,147,dolor. Fusce,3.77E+12,"dui,",9,14,cancelled,3662 544523 84823,807,1/6/2023 9:15,11/25/2022 7:53
62,34,amet diam,3.77E+12,Nulla,14,427,cancelled,3049 131331 56521,400,1/2/2023 3:08,10/27/2022 1:43
63,146,velit eget,3.77E+12,sodales,5,258,cancelled,3.03E+14,336,12/12/2022 9:02,7/30/2022 11:23
64,38,Lorem ipsum,3.77E+12,magna,10,836,refused,3023 132846 94283,144,1/5/2023 6:11,1/12/2023 10:26
65,96,nec enim.,3.77E+12,"tincidunt,",2,78,cancelled,3.67E+14,308,11/1/2022 6:27,1/6/2023 10:29
66,59,gravida nunc,v3770009015028,vulputate,5,687,refused,558278 7839883590,252,10/22/2022 9:02,5/20/2022 7:42
67,44,"parturient montes,",3.77E+12,ridiculus,5,379,cancelled,6.30E+18,508,1/22/2023 9:27,2/25/2022 9:12
68,105,libero. Integer,3.77E+12,"orci,",5,161,cancelled,644745 8324594853,743,10/20/2022 2:08,2/26/2022 9:51
69,183,nibh. Phasellus,3.77E+12,a,12,437,accepted,3.46E+14,716,11/17/2022 12:33,12/16/2021 10:38
70,88,egestas lacinia.,3.77E+12,dolor,9,535,cancelled,630462 68 7659 3435 418,115,2/9/2023 7:36,11/18/2021 12:56
71,154,per inceptos,3.77E+12,Nunc,22,306,cancelled,402400 7136418933,803,10/15/2022 2:34,9/28/2022 7:38
72,108,"sed, facilisis",3.77E+12,lorem,23,983,accepted,5641 8238 4855 6627,545,2/27/2023 11:14,11/22/2022 12:06
73,127,ridiculus mus.,3.77E+12,Nunc,22,836,cancelled,3476 578657 82371,587,2/7/2023 2:37,12/15/2022 7:34
74,82,"elit pede,",3.77E+12,luctus,11,707,refused,3005 383853 34486,834,12/23/2022 10:34,12/15/2021 8:42
75,71,metus. Aliquam,3.77E+12,erat,14,559,cancelled,4.49E+15,902,1/24/2023 7:41,8/5/2022 3:07
76,148,"diam nunc,",3.77E+12,"a,",5,32,refused,3772 845944 91324,287,10/30/2022 8:48,10/11/2022 7:45
77,35,Vivamus nibh,3.77E+12,ac,24,768,refused,484 49777 81957 526,551,1/14/2023 10:07,3/11/2022 4:32
78,17,sodales nisi,3.77E+12,"vel,",3,12,cancelled,3.62E+14,220,11/10/2022 3:07,7/11/2022 8:20
79,71,"convallis, ante",3.77E+12,eleifend,3,467,accepted,3.70E+14,878,12/13/2022 9:34,6/16/2022 11:44
80,146,vehicula risus.,3.77E+12,in,16,872,refused,5818 134568 7735,628,12/20/2022 10:03,3/22/2022 12:09
81,195,"dapibus id,",3.77E+12,Donec,21,9,accepted,4.84E+15,369,12/16/2022 7:45,1/21/2023 6:37
82,98,Curae Phasellus,3.77E+12,feugiat.,2,986,refused,3.05E+14,809,2/20/2023 5:50,2/24/2022 7:38
83,113,Vestibulum ante,3.77E+12,nonummy.,2,808,cancelled,3.01E+14,296,12/7/2022 5:38,2/15/2023 4:16
84,140,"eleifend vitae,",3.77E+12,malesuada,13,372,cancelled,2.15E+14,311,10/4/2022 4:11,10/8/2022 5:02
85,26,mauris a,3.77E+12,elementum,2,595,cancelled,645858 126483 3357,736,1/25/2023 8:48,9/26/2022 6:49
86,183,"faucibus ut,",3.77E+12,adipiscing,12,549,accepted,3.66E+14,544,11/29/2022 7:30,2/10/2023 6:19
87,166,faucibus. Morbi,3.77E+12,"vitae,",8,649,cancelled,5.63E+12,634,12/21/2022 7:15,10/10/2022 6:23
88,83,nunc interdum,v3770009015028,mollis.,4,401,refused,4.93E+12,811,11/25/2022 6:38,5/19/2022 6:17
89,133,"ultricies ornare,",3.77E+12,Phasellus,8,723,refused,6.76E+17,881,12/30/2022 6:19,2/13/2023 8:26
90,116,rutrum lorem,3.77E+12,a,12,256,cancelled,6.71E+18,794,11/22/2022 3:20,11/3/2021 6:56
91,85,laoreet ipsum.,3.77E+12,et,21,541,accepted,3013 514373 55551,326,11/16/2022 11:10,12/24/2021 1:24
92,148,at pede.,3.77E+12,facilisis,5,127,cancelled,6.71E+16,821,11/29/2022 4:01,10/31/2021 8:40
93,192,"ac, feugiat",3.77E+12,nec,8,479,cancelled,6.33E+15,345,1/8/2023 2:23,4/21/2022 12:08
94,25,egestas. Aliquam,3.77E+12,Cras,11,516,accepted,3.70E+14,552,2/7/2023 1:17,2/16/2022 9:55
95,13,rhoncus. Nullam,3.77E+12,ultrices,6,44,refused,676745 645667 2879,425,11/12/2022 1:27,5/3/2022 2:13
96,79,leo. Morbi,3.77E+12,eget,6,103,refused,5642 353233 6953,428,2/26/2023 4:35,11/17/2022 4:38
97,26,ante dictum,3.77E+12,luctus,11,72,cancelled,5.02E+17,887,11/22/2022 8:16,3/1/2022 12:40
98,9,eu neque,3.77E+12,"montes,",4,216,refused,3.01E+14,600,11/9/2022 1:29,7/7/2022 7:12
99,143,ornare egestas,3.77E+12,tempus,6,132,cancelled,3617 752584 94213,159,11/4/2022 1:15,11/17/2021 2:10
100,185,"a, malesuada",3.77E+12,"pede,",6,544,refused,2.01E+14,524,2/11/2023 9:13,8/21/2022 1:15
101,86,Cum sociis,3.77E+12,in,16,570,cancelled,5.77E+18,531,10/8/2022 7:41,9/3/2022 11:12
102,19,cursus vestibulum.,3.77E+12,magna.,6,243,cancelled,402 63467 59174 870,892,2/18/2023 7:10,2/8/2023 8:05
103,44,ullamcorper viverra.,3.77E+12,tellus.,4,463,cancelled,6.33E+15,908,10/19/2022 1:41,8/21/2022 9:04
104,119,rutrum. Fusce,3.77E+12,bibendum.,4,66,accepted,3011 471636 63527,720,2/11/2023 9:07,10/12/2022 6:28
105,17,Quisque varius.,3.77E+12,eget,6,749,refused,484453 6539254295,754,11/21/2022 6:00,10/5/2022 7:38
106,48,lacus. Mauris,3.77E+12,nisi,7,74,refused,3016 495239 38978,575,11/14/2022 3:05,1/19/2022 7:45
107,58,urna justo,3.77E+12,dignissim,3,898,accepted,484 48466 84828 979,335,2/18/2023 4:12,12/13/2021 2:05
108,128,enim nec,3.77E+12,Integer,10,303,cancelled,6.71E+18,628,1/4/2023 8:15,6/7/2022 1:47
109,102,amet orci.,3.77E+12,lectus,11,579,refused,491162 965559 2677,973,1/25/2023 11:09,6/26/2022 5:45
110,174,"varius orci,",3.77E+12,a,12,608,refused,670983 65 5436 5583 717,899,12/5/2022 1:24,2/6/2022 6:21
111,140,gravida. Praesent,3.77E+12,dis,9,694,accepted,5018 763231 56671,435,1/28/2023 8:07,1/19/2023 6:24
112,62,elit elit,3.77E+12,"ut,",3,782,accepted,516424 5635465332,554,12/6/2022 5:24,10/22/2021 6:25
113,10,arcu et,3.77E+12,cubilia,2,181,accepted,417500 938545 6785,372,11/3/2022 10:30,6/26/2022 2:39
114,121,aliquam arcu.,3.77E+12,neque,7,426,accepted,6.01E+15,240,11/6/2022 3:00,8/24/2022 5:41
115,43,nulla. Cras,v3770009015028,Donec,21,737,refused,491138 67 5474 3882 718,974,11/16/2022 3:07,11/13/2021 9:29
116,130,adipiscing ligula.,3.77E+12,tortor,2,287,cancelled,4.93E+15,670,1/23/2023 10:26,9/15/2022 1:59
117,194,Quisque ac,3.77E+12,mauris,21,732,refused,3.05E+14,889,1/24/2023 12:20,2/7/2023 1:00
118,167,Ut sagittis,3.77E+12,porttitor,3,495,cancelled,2.01E+14,812,12/24/2022 11:46,11/30/2021 10:19
119,186,urna convallis,3.77E+12,Praesent,4,39,accepted,4481 222 54 8978,532,1/20/2023 1:50,9/11/2022 8:08
120,34,malesuada fames,3.77E+12,gravida,7,597,accepted,3.46E+14,129,10/7/2022 12:49,1/7/2022 10:45
121,171,"varius ultrices,",3.77E+12,Suspendisse,8,351,accepted,677162 6266767515,189,12/8/2022 7:08,1/1/2023 6:21
122,46,Vestibulum accumsan,v3770009015028,nulla,14,313,refused,3058 997266 14662,852,10/21/2022 9:52,1/27/2022 7:05
123,156,"faucibus leo,",3.77E+12,aliquet.,4,931,refused,5.82E+11,921,10/22/2022 9:33,9/27/2022 6:03
124,131,turpis non,3.77E+12,metus.,5,308,accepted,4.90E+18,364,12/11/2022 9:31,10/15/2021 1:39
125,176,Nam tempor,3.77E+12,Ut,16,473,refused,3.68E+14,200,1/6/2023 1:53,12/30/2022 8:26
126,44,arcu. Morbi,3.77E+12,amet,12,614,accepted,633498 9717695747,899,11/17/2022 4:10,12/30/2022 9:30
127,41,ligula. Donec,3.77E+12,Aenean,9,740,cancelled,633 48477 47988 476,952,1/2/2023 6:54,2/17/2023 2:37
128,165,metus. In,3.77E+12,erat,14,347,accepted,6709 5892 8796 2472,386,12/15/2022 11:10,12/8/2021 6:00
129,96,cursus. Nunc,3.77E+12,ante,8,95,refused,3632 671652 63475,514,11/13/2022 7:32,10/4/2021 9:02
130,134,tortor nibh,3.77E+12,sed,23,705,accepted,4716 6325 5968 2757,284,11/22/2022 1:50,4/24/2022 12:50
131,33,risus. Nulla,3.77E+12,sed,23,157,accepted,3022 686984 49122,873,2/26/2023 12:48,12/11/2021 2:55
132,194,vitae semper,3.77E+12,litora,2,179,accepted,6.71E+15,792,12/3/2022 7:30,5/4/2022 9:48
133,160,ridiculus mus.,3.77E+12,mi.,1,764,refused,5425 9364 1784 8340,929,12/13/2022 11:41,11/9/2021 1:29
134,146,neque vitae,3.77E+12,fames,1,135,cancelled,3663 867882 84689,606,2/24/2023 2:13,5/5/2022 9:58
135,7,"et, lacinia",3.77E+12,felis,6,152,cancelled,484 43165 82596 466,695,10/15/2022 5:25,5/30/2022 9:56
136,138,Etiam vestibulum,3.77E+12,urna,6,852,cancelled,646525 3746236374,539,10/21/2022 4:11,12/11/2021 3:22
137,82,libero. Proin,3.77E+12,malesuada,13,250,refused,633413 6555393650,297,12/11/2022 6:12,10/16/2022 8:48
138,59,sagittis lobortis,3.77E+12,fermentum,4,914,cancelled,4.92E+15,399,1/6/2023 8:30,8/26/2022 4:10
139,25,nunc sed,3.77E+12,pharetra.,2,52,cancelled,3459 887335 25334,697,2/24/2023 4:13,1/23/2023 2:17
140,148,Curabitur dictum.,3.77E+12,malesuada,13,266,refused,655 13412 55776 131,837,12/2/2022 3:25,6/6/2022 11:33
141,89,augue ut,3.77E+12,congue,3,544,accepted,3731 239322 52572,144,10/14/2022 3:56,10/28/2022 4:30
142,97,arcu iaculis,3.77E+12,ipsum,11,382,cancelled,654 65575 42857 560,622,2/7/2023 7:16,12/25/2022 12:57
143,147,"non, feugiat",v3770009015028,convallis,8,929,refused,402400 717384 4652,548,1/23/2023 7:13,8/14/2022 5:50
144,175,lacus. Nulla,3.77E+12,sit,18,301,accepted,3.00E+14,767,2/17/2023 9:17,2/3/2023 6:44
145,197,leo. Morbi,3.77E+12,"lorem,",6,187,accepted,532442 4369787289,525,1/23/2023 10:26,11/3/2022 3:41
146,178,"dui, nec",3.77E+12,et,21,557,refused,3444 565544 32767,769,2/12/2023 9:06,7/11/2022 7:04
147,192,natoque penatibus,3.77E+12,interdum,3,907,cancelled,648438 585858 6191,957,2/2/2023 7:20,12/25/2021 7:46
148,61,In lorem.,3.77E+12,Sed,23,983,cancelled,2149 233857 72766,693,12/2/2022 5:41,12/24/2021 3:40
149,191,inceptos hymenaeos.,3.77E+12,quis,7,380,accepted,532 79148 38352 969,719,12/24/2022 2:05,7/3/2022 7:15
150,104,dui lectus,3.77E+12,interdum.,7,30,cancelled,676128 151428 6231,129,11/16/2022 9:48,12/8/2021 10:53
151,39,"ac, feugiat",3.77E+12,nascetur,5,295,refused,3.46E+14,553,12/30/2022 10:57,9/13/2022 10:55
152,132,diam at,3.77E+12,"ullamcorper,",2,404,accepted,6.77E+18,682,10/27/2022 5:03,2/2/2023 9:00
153,183,ipsum non,3.77E+12,lorem,23,808,refused,490552 3748645527,993,12/28/2022 3:07,5/1/2022 3:18
154,131,malesuada fames,3.77E+12,Proin,15,17,accepted,5018 7876 4415 1450,407,1/5/2023 9:35,10/2/2021 4:31
155,119,Donec felis,3.77E+12,leo.,4,430,refused,675993 7767357615,172,2/27/2023 4:05,8/10/2022 8:12
156,167,"lectus, a",3.77E+12,Lorem,23,55,refused,3.04E+14,296,11/11/2022 1:04,11/9/2022 7:39
157,36,volutpat. Nulla,3.77E+12,ornare,8,262,accepted,6.77E+15,461,12/15/2022 8:27,1/1/2023 5:53
158,50,Maecenas ornare,3.77E+12,Proin,15,380,refused,3.61E+14,486,2/6/2023 9:54,11/15/2021 5:11
159,63,Donec fringilla.,3.77E+12,amet,12,686,accepted,3.01E+14,478,10/23/2022 6:01,9/11/2022 2:45
160,150,In condimentum.,3.77E+12,orci.,3,148,refused,6762 158 93 2157,428,12/3/2022 3:04,5/6/2022 10:31
161,154,dui nec,v3770009015028,ac,24,460,accepted,4.92E+15,819,11/13/2022 12:58,2/28/2023 9:02
162,124,"nec, euismod",3.77E+12,ac,24,388,refused,3023 236287 52770,139,11/18/2022 8:43,12/24/2022 10:43
163,140,lacinia mattis.,3.77E+12,arcu.,8,109,refused,6.46E+15,998,12/31/2022 4:56,11/27/2022 10:54
164,82,Aenean euismod,3.77E+12,vulputate,5,951,accepted,6.30E+17,824,12/19/2022 2:24,6/9/2022 11:52
165,84,mauris sagittis,3.77E+12,nec,8,780,refused,5.25E+15,247,12/31/2022 2:31,2/28/2022 9:16
166,123,ut odio,3.77E+12,"aliquam,",2,589,cancelled,676223 7787244389,143,12/8/2022 12:43,12/13/2021 2:36
167,107,natoque penatibus,3.77E+12,molestie.,3,329,accepted,3.00E+14,688,3/1/2023 1:23,1/12/2023 3:33
168,187,ornare. In,3.77E+12,Sed,23,39,cancelled,633422 77 4679 2474 353,515,11/21/2022 6:08,8/1/2022 12:43
169,25,In condimentum.,3.77E+12,ac,24,622,cancelled,670947 19 3762 3898 482,535,1/27/2023 3:33,7/10/2022 5:28
170,24,justo. Proin,3.77E+12,Duis,7,64,accepted,491757 768479 9793,572,3/1/2023 2:25,12/26/2022 3:26
171,138,erat semper,3.77E+12,accumsan,8,125,accepted,491 38467 66366 571,831,1/20/2023 2:29,12/7/2021 5:35
172,134,Nunc lectus,3.77E+12,diam.,2,145,refused,5.04E+17,692,1/11/2023 12:01,3/13/2022 10:22
173,44,Aliquam nisl.,3.77E+12,neque,7,709,cancelled,4.53E+12,487,1/10/2023 11:10,3/15/2022 5:59
174,28,dignissim magna,3.77E+12,ullamcorper.,3,936,cancelled,3055 969129 82248,161,1/17/2023 9:54,12/17/2022 4:35
175,31,convallis ligula.,v3770009015028,augue,7,495,cancelled,675933 653756 6318,274,12/23/2022 5:19,9/19/2022 7:57
176,82,"a, arcu.",3.77E+12,ac,24,510,refused,6.77E+17,899,11/16/2022 12:17,3/24/2022 11:34
177,137,sit amet,3.77E+12,malesuada,13,754,refused,3.43E+14,218,11/6/2022 3:09,9/17/2022 2:19
178,87,"sem, consequat",3.77E+12,fringilla.,1,369,cancelled,6.76E+13,473,12/17/2022 5:28,12/21/2022 5:34
179,102,natoque penatibus,3.77E+12,"et,",4,414,cancelled,6767 7457 6668 4289,714,10/3/2022 4:55,12/27/2022 8:08
180,152,"dictum eleifend,",3.77E+12,"a,",5,827,refused,4913 7836 7286 6651,149,2/25/2023 2:56,11/23/2022 10:11
181,163,pede. Praesent,3.77E+12,Sed,23,722,refused,670972 3415673566,425,1/17/2023 3:38,2/18/2022 11:47
182,21,euismod est,3.77E+12,"dui,",9,823,accepted,2149 287955 97620,867,11/8/2022 5:46,2/16/2023 4:13
183,62,Integer id,3.77E+12,aliquet.,4,588,cancelled,633 46233 12248 426,766,11/27/2022 3:00,5/1/2022 5:40
184,7,eros turpis,3.77E+12,"vestibulum,",2,207,cancelled,3.64E+14,717,1/26/2023 3:30,2/8/2022 8:44
185,78,sagittis lobortis,3.77E+12,Donec,21,885,accepted,3627 185528 83623,577,2/7/2023 9:54,7/20/2022 10:58
186,42,torquent per,3.77E+12,volutpat.,3,984,refused,448542 4452692359,306,1/30/2023 7:33,5/14/2022 11:41
187,179,Curae Phasellus,3.77E+12,pede,7,972,cancelled,484423 282364 7234,242,10/16/2022 9:32,11/21/2022 10:45
188,49,Nunc mauris,3.77E+12,ornare,8,727,accepted,6.33E+15,583,12/30/2022 6:05,7/22/2022 11:46
189,148,velit. Sed,3.77E+12,imperdiet,6,942,accepted,633110 8754866466,499,12/16/2022 3:59,2/27/2023 4:17
190,195,ante blandit,3.77E+12,Nunc,22,939,refused,6.71E+18,480,2/18/2023 7:26,9/11/2022 12:30
191,33,et netus,3.77E+12,nascetur,5,948,cancelled,3.47E+14,810,11/5/2022 3:44,1/5/2023 4:20
192,17,velit eu,v3770009015028,adipiscing,12,614,accepted,490524 4471426759,943,2/9/2023 6:45,9/27/2022 9:55
193,64,commodo auctor,3.77E+12,ut,16,344,cancelled,6.76E+18,297,12/12/2022 3:16,3/5/2022 3:20
194,190,"fringilla, porttitor",3.77E+12,nisi,7,357,accepted,2014 693175 86465,368,11/25/2022 3:50,7/2/2022 11:13
195,102,quis urna.,3.77E+12,Curabitur,12,366,cancelled,601142 717878 1334,743,1/29/2023 5:54,8/21/2022 6:34
196,61,"parturient montes,",3.77E+12,lorem,23,312,refused,5.75E+12,592,2/25/2023 5:03,2/7/2022 10:29
197,39,vel quam,3.77E+12,Phasellus,8,865,refused,4024 0071 5234 2223,931,3/1/2023 4:57,6/8/2022 10:48
198,71,lorem semper,3.77E+12,Etiam,3,746,refused,450 81272 27717 483,908,12/12/2022 6:32,2/15/2022 12:58
199,14,erat vitae,3.77E+12,In,16,933,accepted,556 31213 54534 680,422,12/17/2022 2:23,1/7/2023 3:20
200,14,erat neque,3.77E+12,parturient,7,680,refused,633110 7368957687,500,12/11/2022 4:24,9/10/2022 12:19
201,156,libero. Donec,3.77E+12,Nulla,14,657,cancelled,630444 67 4558 5196 312,568,12/2/2022 5:52,6/17/2022 7:00
202,172,erat nonummy,3.77E+12,rhoncus.,3,99,cancelled,6.76E+18,925,11/21/2022 6:05,11/4/2021 10:20
203,146,cubilia Curae,3.77E+12,mollis,6,859,refused,6.71E+15,322,2/23/2023 4:22,12/27/2022 3:47
204,38,Sed nec,3.77E+12,neque.,8,628,accepted,6.33E+17,487,12/16/2022 3:27,12/16/2022 7:24
205,7,ipsum. Suspendisse,3.77E+12,tristique,8,359,accepted,633 37925 97474 345,927,10/20/2022 11:03,12/28/2022 4:08
206,26,"a, enim.",3.77E+12,ante,8,126,refused,2014 895574 18112,639,2/26/2023 8:15,1/23/2023 2:03
207,103,sed turpis,3.77E+12,magna,10,560,cancelled,6.33E+15,793,1/25/2023 11:54,5/2/2022 8:17
208,153,elit. Etiam,3.77E+12,neque.,8,362,refused,2149 643345 85958,377,2/16/2023 1:07,8/11/2022 6:46
209,194,mollis. Duis,3.77E+12,iaculis,7,339,accepted,553 15636 94847 745,340,2/18/2023 12:47,12/21/2021 2:52
210,136,neque non,3.77E+12,et,21,847,cancelled,6.47E+15,466,10/12/2022 11:10,2/4/2023 12:33
211,197,"diam nunc,",3.77E+12,dictum.,1,975,cancelled,3.05E+14,807,10/11/2022 3:03,8/2/2022 1:41
212,132,arcu. Sed,3.77E+12,dis,9,230,accepted,3.67E+14,707,2/9/2023 8:11,2/7/2023 2:13
213,158,eu neque,3.77E+12,Ut,16,360,accepted,633483 65 7296 1962 967,361,12/16/2022 2:39,10/8/2021 9:24
214,67,"amet, faucibus",3.77E+12,a,12,883,accepted,6.77E+18,702,10/6/2022 1:30,5/31/2022 5:56
215,148,"rutrum non,",3.77E+12,massa.,5,198,cancelled,676 79754 15374 269,350,2/26/2023 3:04,12/4/2021 10:07
216,74,Quisque varius.,3.77E+12,Proin,15,44,refused,6761 1677 3738 6728,123,2/8/2023 6:19,10/17/2022 7:50
217,170,pretium neque.,3.77E+12,augue,7,994,accepted,3728 355879 86656,845,1/1/2023 5:48,10/8/2021 9:40
218,20,ullamcorper. Duis,3.77E+12,neque,7,67,accepted,471 63757 54631 258,999,2/22/2023 1:01,9/14/2022 4:57
219,190,inceptos hymenaeos.,3.77E+12,quis,7,568,accepted,5.77E+11,119,2/9/2023 12:48,10/10/2021 9:34
